Tempo [h];T0_Quota [m s.l.m.];T0_Volume totale [Mm^3];Tmax_Quota [m s.l.m.];Tmax_Volume totale [Mm^3];Tieri_Quota [m s.l.m.];Tieri_Volume totale [Mm^3]
0;823.0;23.0;823.0;23.0;823.0;23.0
1;823.0;23.0;823.0;23.0;823.0;23.0
2;823.1;23.1;823.0;23.0;823.1;23.1
3;823.2;23.5;823.1;23.3;823.2;23.5
4;823.5;23.9;823.4;23.7;823.5;23.9
5;823.8;24.6;823.6;24.3;823.8;24.6
6;824.1;25.3;824.0;24.9;824.1;25.3
7;824.5;26.1;824.3;25.7;824.5;26.1
8;824.9;26.9;824.7;26.4;824.9;26.9
9;825.3;27.7;825.1;27.2;825.3;27.7
10;825.6;28.6;825.4;28.0;825.6;28.6
11;826.0;29.5;825.7;28.9;825.9;29.4
12;826.3;30.4;826.0;29.7;826.3;30.3
13;826.6;31.3;826.4;30.5;826.6;31.1
14;827.0;32.2;826.7;31.3;826.9;32.0
15;827.3;33.0;827.0;32.2;827.2;32.8
16;827.7;33.9;827.3;33.0;827.6;33.7
17;828.0;34.8;827.6;33.9;827.9;34.5
18;828.4;35.7;828.0;34.7;828.2;35.4
19;828.7;36.6;828.3;35.5;828.6;36.3
20;829.0;37.5;828.6;36.4;828.9;37.2
21;829.4;38.4;828.9;37.2;829.3;38.1
22;829.7;39.3;829.2;38.0;829.6;39.0
23;830.1;40.2;829.6;38.9;829.9;39.9
24;830.4;41.1;829.9;39.7;830.3;40.7
25;830.8;42.0;830.2;40.5;830.6;41.6
26;831.0;42.7;830.5;41.2;830.9;42.4
27;831.3;43.3;830.7;41.7;831.1;43.0
28;831.4;43.7;830.8;42.1;831.3;43.4
29;831.5;44.0;830.9;42.3;831.4;43.6
30;831.6;44.2;830.9;42.4;831.5;43.8
31;831.6;44.3;831.0;42.5;831.5;43.9
32;831.7;44.3;831.0;42.5;831.5;44.0
33;831.7;44.4;830.9;42.5;831.5;44.0
34;831.7;44.4;830.9;42.4;831.6;44.0
35;831.7;44.4;830.9;42.4;831.5;44.0
36;831.7;44.4;830.9;42.3;831.5;44.0
37;831.7;44.4;830.9;42.3;831.5;43.9
38;831.7;44.4;830.8;42.2;831.5;43.9
39;831.7;44.4;830.8;42.1;831.5;43.8
40;831.7;44.4;830.8;42.1;831.5;43.8
41;831.7;44.4;830.8;42.0;831.4;43.7
42;831.7;44.4;830.8;42.0;831.4;43.7
43;831.7;44.4;830.7;41.9;831.4;43.7
44;831.7;44.4;830.7;41.8;831.4;43.7
45;831.7;44.4;830.7;41.8;831.4;43.7
46;831.7;44.3;830.7;41.7;831.4;43.7
47;831.7;44.3;830.6;41.6;831.4;43.7
48;831.7;44.3;830.6;41.6;831.4;43.6
49;831.7;44.3;830.6;41.5;831.4;43.6
50;831.7;44.3;830.6;41.4;831.4;43.6
51;831.7;44.3;830.5;41.4;831.4;43.6
52;831.7;44.3;830.5;41.3;831.4;43.6
53;831.7;44.3;830.5;41.3;831.4;43.6
54;831.7;44.3;830.5;41.2;831.4;43.6
55;831.7;44.3;830.4;41.1;831.4;43.6
56;831.7;44.3;830.4;41.1;831.4;43.6
57;831.7;44.3;830.4;41.0;831.4;43.6
58;831.6;44.3;830.4;40.9;831.4;43.6
59;831.6;44.3;830.3;40.9;831.4;43.5
60;831.6;44.3;830.3;40.8;831.3;43.5
61;831.6;44.3;830.3;40.8;831.3;43.4
62;831.6;44.3;830.3;40.7;831.3;43.4
63;831.6;44.3;830.2;40.6;831.3;43.4
64;831.6;44.3;830.2;40.6;831.3;43.3
65;831.6;44.2;830.2;40.5;831.3;43.3
66;831.6;44.2;830.2;40.4;831.2;43.2
67;831.6;44.2;830.1;40.4;831.2;43.2
68;831.6;44.2;830.1;40.3;831.2;43.2
69;831.6;44.2;830.1;40.3;831.2;43.2
70;831.6;44.2;830.1;40.2;831.2;43.2
71;831.6;44.2;830.0;40.1;831.2;43.2
72;831.6;44.2;830.0;40.1;831.2;43.2
